"","feature","task","shap_phi","fname","group","taxa"
"1552","bio_11",44,0.563817512094975,"TMeanColdQ","temperature","LuCast_Di"
"1553","bio_12",44,7.42861484587192,"PTotY","precipitation","LuCast_Di"
"1554","bio_13",44,46.7002700155973,"PWetM","precipitation","LuCast_Di"
"1555","bio_14",44,15.8626938983798,"PDryM","precipitation","LuCast_Di"
"1556","bio_15",44,27.6080422085524,"PSeason","precipitation","LuCast_Di"
"1557","bio_16",44,11.9047723340988,"PWetQ","precipitation","LuCast_Di"
"1558","bio_17",44,0.545400406718254,"PDryQ","precipitation","LuCast_Di"
"1559","bio_18",44,33.6769711828232,"PWarmQ","precipitation","LuCast_Di"
"1560","bio_19",44,11.3112634345889,"PColdQ","precipitation","LuCast_Di"
"1561","bio_2",44,29.2605186697841,"TMeanRngD","temperature","LuCast_Di"
"1562","bio_3",44,0.743539122343063,"TIso","temperature","LuCast_Di"
"1563","bio_4",44,3.45220894962549,"TSeason","temperature","LuCast_Di"
"1564","bio_5",44,1.29599405825138,"TMaxWarmM","temperature","LuCast_Di"
"1565","bio_6",44,19.9073270571232,"TMinColdM","temperature","LuCast_Di"
"1566","bio_7",44,34.7383695396781,"TRngY","temperature","LuCast_Di"
"1567","bio_8",44,12.8921638172865,"TMeanWetQ","temperature","LuCast_Di"
"1568","bio_9",44,10.9192040839791,"TMeanDryQ","temperature","LuCast_Di"
"1569","bs_top",44,7.39937074065208,"bs_top","hydro","LuCast_Di"
"1570","Carbone",44,0.553872754871845,"C","physchem","LuCast_Di"
"1571","cec_top",44,3.52937428712845,"cec_top","hydro","LuCast_Di"
"1572","clay",44,3.50266126275063,"clay","structural","LuCast_Di"
"1573","clc",44,29.5195438492298,"clc","landcover","LuCast_Di"
"1574","CN",44,1.51934848606586,"CN","physchem","LuCast_Di"
"1575","crusting",44,12.4152404227853,"crusting","structural","LuCast_Di"
"1576","dgh",44,19.3147961503267,"dgh","structural","LuCast_Di"
"1577","dimp",44,0.499404323101044,"dimp","structural","LuCast_Di"
"1578","erodi",44,16.3786597770453,"erodi","structural","LuCast_Di"
"1579","parmado",44,11.4356669515371,"parmado","structural","LuCast_Di"
"1580","pd_top",44,6.80165496587753,"pd_top","structural","LuCast_Di"
"1581","pH",44,7.530535376966,"pH","physchem","LuCast_Di"
"1582","proxi_eau_fast",44,0.350297748148441,"proxi_eau_fast","hydro","LuCast_Di"
"1583","silt",44,23.2267324832082,"silt","structural","LuCast_Di"
"1584","wr",44,3.89953925698996,"wr","hydro","LuCast_Di"
"1585","awc_top",45,34.2844028300637,"awc_top","hydro","Lucent"
"1586","bio_1",45,7.50252897190941,"TMeanY","temperature","Lucent"
"1587","bio_10",45,11.603871004473,"TMeanWarmQ","temperature","Lucent"
"1588","bio_11",45,17.2387448732261,"TMeanColdQ","temperature","Lucent"
"1589","bio_12",45,12.6671165364848,"PTotY","precipitation","Lucent"
"1590","bio_13",45,54.1278886305311,"PWetM","precipitation","Lucent"
"1591","bio_14",45,33.6922225651608,"PDryM","precipitation","Lucent"
"1592","bio_15",45,18.5853789200757,"PSeason","precipitation","Lucent"
"1593","bio_16",45,20.0092339816288,"PWetQ","precipitation","Lucent"
"1594","bio_17",45,2.94761913738301,"PDryQ","precipitation","Lucent"
"1595","bio_18",45,62.8013586075683,"PWarmQ","precipitation","Lucent"
"1596","bio_19",45,71.6352042976678,"PColdQ","precipitation","Lucent"
"1597","bio_2",45,6.83149135503249,"TMeanRngD","temperature","Lucent"
"1598","bio_3",45,87.3097816317107,"TIso","temperature","Lucent"
"1599","bio_4",45,31.4140313250466,"TSeason","temperature","Lucent"
"1600","bio_5",45,9.29319312861207,"TMaxWarmM","temperature","Lucent"
"1601","bio_6",45,21.0784963519737,"TMinColdM","temperature","Lucent"
"1602","bio_7",45,49.6901435322729,"TRngY","temperature","Lucent"
"1603","bio_8",45,5.21500727662129,"TMeanWetQ","temperature","Lucent"
"1604","bio_9",45,42.5871708947598,"TMeanDryQ","temperature","Lucent"
"1605","bs_top",45,9.08658506580978,"bs_top","hydro","Lucent"
"1606","Carbone",45,37.3815467294209,"C","physchem","Lucent"
"1607","cec_top",45,44.5778085090935,"cec_top","hydro","Lucent"
"1608","clay",45,19.7924109710702,"clay","structural","Lucent"
"1609","clc",45,62.5326590891721,"clc","landcover","Lucent"
"1610","CN",45,38.0324090935821,"CN","physchem","Lucent"
"1611","crusting",45,26.3626423694612,"crusting","structural","Lucent"
"1612","dgh",45,7.91824347888418,"dgh","structural","Lucent"
"1613","dimp",45,4.31126063110678,"dimp","structural","Lucent"
"1614","erodi",45,32.1501632122472,"erodi","structural","Lucent"
"1615","parmado",45,33.9393933392107,"parmado","structural","Lucent"
"1616","pd_top",45,21.1464900906031,"pd_top","structural","Lucent"
"1617","pH",45,89.1905933547817,"pH","physchem","Lucent"
"1618","proxi_eau_fast",45,3.00214508110839,"proxi_eau_fast","hydro","Lucent"
"1619","silt",45,45.3312725016463,"silt","structural","Lucent"
"1620","wr",45,24.1404313600869,"wr","hydro","Lucent"
"1621","awc_top",46,23.547582403933,"awc_top","hydro","Lufest"
"1622","bio_1",46,8.71841187834109,"TMeanY","temperature","Lufest"
"1623","bio_10",46,8.41140565479048,"TMeanWarmQ","temperature","Lufest"
"1624","bio_11",46,15.2339315456266,"TMeanColdQ","temperature","Lufest"
"1625","bio_12",46,22.7018367580528,"PTotY","precipitation","Lufest"
"1626","bio_13",46,116.052096449793,"PWetM","precipitation","Lufest"
"1627","bio_14",46,29.6039645228586,"PDryM","precipitation","Lufest"
"1628","bio_15",46,64.9803680086231,"PSeason","precipitation","Lufest"
"1629","bio_16",46,36.8418435401315,"PWetQ","precipitation","Lufest"
"1630","bio_17",46,9.86485341773779,"PDryQ","precipitation","Lufest"
"1631","bio_18",46,50.2486124155499,"PWarmQ","precipitation","Lufest"
"1632","bio_19",46,24.513994177836,"PColdQ","precipitation","Lufest"
"1633","bio_2",46,63.3022003545742,"TMeanRngD","temperature","Lufest"
"1634","bio_3",46,11.5105241422493,"TIso","temperature","Lufest"
"1635","bio_4",46,20.9389933214393,"TSeason","temperature","Lufest"
