0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1.9836009	0.95030886	0.0	3.5287037	1.3725475	2.088836	2.4312742	1.4084656	0.07014114	0.0	0.0	2.4455018	1.4626926	2.6694098	0.0	2.9584236
1.443021	0.0	0.89408934	4.997689	3.4015336	1.5986035	2.7719817	4.8222685	1.5998366	0.8473761	0.0	1.7571267	1.4885616	4.683492	0.42893177	0.24417543
0.0	0.0	1.0139465	4.2457085	4.4195185	2.3740096	2.0256107	3.7260334	1.8777364	1.5308809	1.3545152	2.2081094	0.20093074	2.8457198	1.606391	1.8159196
4.406492	1.766224	0.0	1.7838598	2.0595183	1.6667676	2.0154777	0.27484855	2.495368	0.34506434	1.8296194	2.9733982	2.1531746	2.1598043	0.0	5.1085334
5.4313126	1.6497233	0.10344529	2.7812197	1.1085162	0.9497458	0.7642884	0.0	1.9811513	1.4408647	2.6901126	3.2860231	0.0	1.4091299	0.0	6.12074
5.387529	0.68485755	1.6778101	2.123406	0.81572056	2.2448952	0.31573087	0.0	3.949627	2.4664385	2.0765076	4.1905446	0.0	1.158376	0.0	5.2301106
0.0	2.618385	0.0	3.7370892	0.353374	3.7044413	2.9221725	1.4299709	1.2923782	0.0	4.7254333	0.49054003	1.652291	0.0	0.38673574	2.78107
0.0	3.1939073	0.0	2.0326326	0.048638582	2.6032515	2.5111697	2.887594	0.64543396	0.0	3.3503025	0.8591925	2.1250532	0.0	0.0	0.001312226
0.0	3.6070912	0.0	4.0049753	0.0	0.0	3.7077098	2.243884	0.1737119	0.0	3.361706	0.0	1.9013834	1.2441742	2.1381679	1.6711686
0.0	1.5075817	0.0	0.0	1.1814117	0.0	4.5105314	0.5393395	0.9514375	0.0	1.132875	0.20010448	2.8630476	0.9475217	3.3895786	0.0
0.0	1.1592096	0.0	0.0	0.0	0.0	4.5466757	0.0	0.74911857	0.5798161	1.9835111	0.79390985	2.708147	1.3115916	1.2923187	0.0
1.3330142	4.820671	0.0	1.9793789	0.0	1.0893954	3.697396	0.0	1.4923205	1.963685	1.949471	0.0	2.6017919	0.9984748	1.4108925	0.68058014
1.2343909	3.5902205	0.0	0.0	0.0	3.075276	4.8035374	0.06915474	4.0796227	2.6372645	2.5772362	0.6119189	2.7786825	2.2972858	2.9006848	0.081222296
1.6469926	3.6760924	0.0	0.0	0.0	2.7490537	4.743942	0.4371762	4.102788	2.4176536	2.2666633	0.6200643	2.8868926	2.0451496	3.2713377	0.0
0.0	2.6432571	0.30860043	0.0	0.12799099	1.5684643	3.6607647	3.1711042	2.6188078	0.26991904	2.8788462	0.0	2.2462807	0.37344575	5.2632275	0.0
0.0	2.4372625	1.601107	0.0	2.1452615	0.7014543	1.6930733	5.0761695	2.3214774	0.0	2.9128008	0.0	2.2681005	0.0	6.3422728	0.0
0.0	0.96392167	0.0	0.0	1.6753397	0.0	4.794323	0.5976371	0.0	0.0	0.89022756	0.18221271	3.5145388	2.347732	2.844325	0.0
0.0	1.2154533	0.0	0.0	1.1278893	0.0	3.712621	4.6071215	2.086605	0.12644815	2.0789392	0.0	2.8942285	1.1663564	4.656	0.0
0.0	1.214066	0.0	1.3679404	1.1627446	0.6626955	3.7392206	4.0076075	1.7735399	0.0	2.5943635	0.0	2.0242553	1.6089532	4.41123	0.0
2.0973449	0.0	3.0104303	1.5271215	3.2489145	1.5318168	0.0	0.9623163	2.3945072	0.7875186	0.6138956	3.4239538	1.3147287	3.0982065	0.0	2.1904323
0.004687682	1.8059925	2.6401854	1.1030505	3.2539928	1.3804196	0.0	0.5204022	0.0	0.0	0.3430673	0.0	5.010954	0.0	0.23776692	0.0
0.0	1.168459	1.9749452	3.853221	2.3506012	2.2611146	0.0	0.0	0.0	0.46204233	1.3666247	0.0	4.148512	2.1807652	0.0	1.4369545
0.8419623	2.0659287	2.7304368	3.1049128	2.2665129	2.8394282	0.92259455	0.0	1.0372819	2.143433	0.08377588	0.62232816	3.8121266	2.3959532	1.315706	2.9448338
0.0	2.6195793	1.6372559	2.6307378	3.174986	3.2705112	1.0345312	0.048944026	0.0	0.1095345	0.6900613	0.0	3.6514363	2.3559666	0.03189361	0.5345936
0.0	3.230245	2.6833088	1.6718508	3.8318791	3.292563	0.613282	0.7032095	0.0	0.03086996	0.0	0.0	2.9903696	1.6858877	0.0	0.0
2.5880008	3.1158843	2.7064934	0.0	0.0	0.0	1.4690377	0.0	0.7051294	0.0	0.0	0.0	4.284852	1.9149673	2.232789	3.4821281
0.0	1.4531299	2.2033608	3.0808296	2.8945632	1.7854106	0.26095033	0.14118774	0.0	0.85146606	0.566031	0.0	4.497816	2.2542484	1.2063301	3.4498117
0.9390652	2.9282887	3.1036127	0.17672515	5.2768817	2.9018707	0.6609043	1.9768541	0.0	0.0	0.0	0.0	4.392332	0.40737116	0.7850733	0.0
